City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,La Ronge,CA,55.1001,-105.2842,64.35,57,86,5.23,overcast clouds
274,Baruun-Urt,MN,46.6806,113.2792,70.3,66,98,12.95,overcast clouds
275,Urumqi,CN,43.801,87.6005,81.55,21,0,6.71,clear sky
276,Itanhaem,BR,-24.1831,-46.7889,69.78,59,60,5.46,broken clouds
277,Xuanwu,CN,32.069,118.8138,96.57,51,99,2.82,overcast clouds
278,Severnoye,RU,56.3491,78.3619,66.07,72,13,5.86,light rain
279,Grootfontein,NA,-19.5667,18.1167,45.3,47,0,5.35,clear sky
280,Krasnoselkup,RU,65.7,82.4667,69.28,44,37,16.11,scattered clouds
281,Arman,RU,59.7,150.1667,63.01,83,99,7.34,overcast clouds
282,Sur,OM,22.5667,59.5289,86.76,74,99,4.68,overcast clouds
283,Namatanai,PG,-3.6667,152.4333,83.53,70,56,7.02,light rain
284,Wewak,PG,-3.5534,143.6268,79.29,83,100,8.63,overcast clouds
285,Villamontes,BO,-21.25,-63.5,56.89,84,99,3.22,overcast clouds
286,Saravan,AM,39.7196,45.6483,75.94,34,0,4.34,clear sky
287,Narsaq,GL,60.9167,-46.05,44.82,91,100,4.25,overcast clouds
288,Korla,CN,41.7597,86.1469,77.99,37,100,7.38,overcast clouds
289,Sawtell,AU,-30.3833,153.1,68.18,45,100,12.66,overcast clouds
290,Whitehorse,CA,60.7161,-135.0538,60.31,74,95,10.0,overcast clouds
291,Balsas,BR,-7.5325,-46.0356,71.13,47,7,3.89,clear sky
292,Fort Nelson,CA,58.8053,-122.7002,60.26,68,98,2.44,overcast clouds
293,Hella,NO,67.2,14.4333,51.94,91,100,9.22,overcast clouds
294,Westport,US,41.1415,-73.3579,72.79,88,100,0.0,overcast clouds
295,Nchelenge,ZM,-9.3451,28.734,63.46,67,40,7.09,scattered clouds
296,Roma,US,43.2128,-75.4557,62.73,85,0,3.44,clear sky
297,College,US,64.8569,-147.8028,60.75,87,100,4.61,light rain
298,Alabaster,US,33.2443,-86.8164,76.41,87,0,3.44,clear sky
299,Smithers,CA,54.7804,-127.1743,57.52,94,100,0.0,light rain
300,Inhambane,MZ,-23.865,35.3833,65.79,81,23,9.69,few clouds
301,Grants,US,35.1473,-107.8514,70.03,52,71,0.0,broken clouds
302,Plettenberg Bay,ZA,-34.0527,23.3716,58.87,58,97,4.38,overcast clouds
303,Udachnyy,RU,66.4167,112.4,56.1,62,100,16.8,overcast clouds
304,Port Lincoln,AU,-34.7333,135.8667,60.57,75,10,25.95,clear sky
305,Barrow,US,71.2906,-156.7887,35.62,87,100,5.75,overcast clouds
306,Vanavara,RU,60.34,102.2797,71.22,40,85,3.2,overcast clouds
307,Bubaque,GW,11.2833,-15.8333,80.06,81,97,14.32,overcast clouds
308,Challakere,IN,14.3167,76.65,78.93,67,98,23.31,overcast clouds
309,Buin,CL,-33.7333,-70.75,42.42,97,100,4.14,overcast clouds
310,Filadelfia,US,39.9523,-75.1638,75.09,90,75,8.05,broken clouds
311,Golden,US,39.7555,-105.2211,75.69,57,0,13.0,clear sky
312,Leua,SK,48.2156,18.6071,61.5,59,14,0.87,few clouds
313,Augusto Correa,BR,-1.0217,-46.635,71.55,97,12,2.89,few clouds
314,Nazilli,TR,37.9163,28.3223,74.5,43,0,4.43,clear sky
315,Novobirilyussy,RU,56.9514,90.6661,69.06,53,63,1.21,broken clouds
316,Cabo San Lucas,MX,22.8909,-109.9124,81.7,64,0,8.59,clear sky
317,Tautira,PF,-17.7333,-149.15,75.2,70,74,25.68,light rain
318,Bulgan,MN,48.8125,103.5347,67.6,40,10,6.93,clear sky
319,Moyale,KE,3.5167,39.0584,63.32,81,94,12.84,overcast clouds
320,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,overcast clouds
